ID,Cluster
G006149,1
G007234,1
G007054,1
G006619,1
G013353,0
G006127,1
G008237,0
G005406,1
G000477,0
G008425,0
G001140,0
G007741,0
G009044,1
G000885,0
G011520,0
G005730,1
G000100,0
G003469,1
G009218,0
G009423,1
G012961,0
G005501,1
G005229,1
G001985,0
G000291,0
G006209,1
G007637,0
G002040,0
G013205,0
G011506,0
G009056,0
G013023,0
G013292,0
G004795,1
G002520,1
G008277,0
G004150,1
G000534,0
G006432,1
G000863,0
G011077,0
G005251,1
G012626,0
G013120,0
G005640,1
G012006,0
G007145,1
G011892,0
G010841,0
G005067,1
G002761,1
G002472,1
G010891,0
G007318,1
G006042,1
G011727,0
G003782,1
G006399,1
G002620,1
G002978,1
G003313,1
G008843,0
G010045,1
G011577,0
G012338,0
G008318,0
G003015,1
G006183,1
G010810,0
G011217,0
G002070,1
G004234,1
G001088,0
G005684,1
G003981,1
G000169,0
G004562,1
G002418,1
G008411,0
G000170,0
G013268,0
G006750,1
G008848,0
G007854,0
G004092,1
G003754,1
G003014,1
G004075,1
G009304,0
G001548,0
G005423,1
G006757,1
G001912,0
G005849,1
G009937,0
G010227,0
G005494,1
G003088,1
G004120,1
G001007,0
G003972,1
G002123,0
G008472,0
G010831,0
G007202,1
G003116,1
G010193,0
G003753,1
G012930,0
G000915,0
G008285,0
G009480,0
G010185,0
G010133,0
G001535,0
G003612,1
G008608,0
G013367,0
G005903,1
G009579,0
G001581,0
G003291,1
G008344,0
G012096,0
G008519,0
G002184,1
G001698,0
G001890,0
G001990,0
G010000,1
G009074,0
G005850,1
G005759,1
G011436,0
G010840,0
G004470,1
G000733,0
G006467,1
G010477,0
G012549,0
G010872,0
G002326,1
G012118,0
G008595,0
G011992,0
G004030,1
G012932,0
G010443,0
G006949,1
G001612,0
G010646,0
G007938,0
G001035,0
G002617,1
G005658,1
G001517,0
G007954,0
G000358,0
G003102,1
G009266,0
G008537,0
G010506,0
G000736,0
G002590,1
G004157,1
G007718,0
G011860,0
G005548,0
G008345,0
G010171,0
G008035,0
G009674,0
G007051,1
G002770,1
G009810,1
G008125,0
G006390,1
G002026,0
G012490,0
G006163,1
G009555,0
G000795,0
G012623,0
G005246,1
G006216,1
G004398,1
G001271,0
G011148,0
G007677,0
G011981,0
G001371,0
G012014,0
G005145,1
G005427,1
G000750,0
G004507,1
G008950,0
G003563,1
G004975,1
G003805,1
G004924,1
G011841,0
G005894,1
G001489,0
G013020,0
G012593,0
G006051,1
G001534,0
G011818,0
G009271,0
G010910,0
G003394,1
G008944,0
G006988,1
G005091,1
G013427,0
G001040,0
G001386,0
G001922,0
G003527,1
G004919,1
G005768,1
G010068,0
G007721,0
G007449,0
G007699,0
G008658,1
G005825,1
G010172,0
G008628,0
G004101,1
G012606,0
G012389,0
G000305,0
G002806,1
G001108,0
G008986,0
G008573,0
G002129,0
G010606,0
G002021,0
G005026,1
G004185,1
G007110,1
G011122,0
G006931,1
G001214,0
G013358,0
G003249,1
G009543,1
G009285,0
G010118,0
G004902,1
G003356,1
G000219,0
G012971,0
G002702,1
G008471,0
G007524,0
G013443,0
G004752,1
G003647,1
G006071,1
G008262,0
G005295,1
G010935,0
G006652,1
G012346,0
G012416,0
G012309,0
G001721,0
G003955,1
G011374,0
G001412,0
G011407,0
G007709,0
G012009,0
G001369,0
G007064,1
G001685,0
G007400,1
G003586,1
G011890,0
G000469,0
G012880,0
G012017,0
G003959,1
G001079,0
G001984,0
G003070,1
G009221,0
G002914,1
G009344,0
G007661,0
G002797,1
G012647,0
G003996,1
G010631,0
G000837,0
G001624,0
G001714,0
G007943,0
G001748,0
G008627,0
G000287,0
G004203,1
G003614,1
G006696,1
G002460,0
G000543,0
G010937,0
G003077,1
G011551,0
G002426,1
G004102,1
G000328,0
G013138,0
G009527,1
G003652,1
G005387,1
G013361,0
G011219,0
G009374,0
G003046,1
G010740,0
G010350,0
G012699,0
G012467,0
G011091,0
G002496,1
G002479,1
G000488,0
G009198,0
G007370,1
G012412,0
G011827,0
G007873,0
G008666,0
G000978,0
G000625,0
G001237,0
G012575,0
G000312,0
G009171,0
G004615,1
G005118,1
G008474,0
G013281,0
G000709,0
G010055,1
G004004,1
G008338,0
G011370,0
G007031,1
G011190,0
G012542,0
G010415,0
G009786,1
G009982,1
G010466,0
G008013,0
G011586,0
G007308,1
G008535,0
G008808,0
G006806,1
G003920,1
G009587,0
G002268,1
G000354,0
G006364,1
G005400,1
G004395,1
G006670,1
G004721,1
G002629,1
G005904,1
G010821,0
G001715,0
G006858,1
G013186,0
G010547,0
G001351,0
G000015,0
G001698,0
G011305,0
G002134,1
G011438,0
G000994,0
G013566,0
G005047,1
G013142,0
G008927,0
G013306,0
G002772,1
G013444,0
G001311,0
G006578,1
G003066,1
G005222,1
G010166,0
G008590,0
G003670,1
G010925,0
G007803,0
G007733,0
G003257,1
G012790,0
G006868,1
G010948,0
G003012,1
G001324,0
G009190,0
G006599,1
G000028,0
G009145,1
G001023,0
G010752,0
G011211,0
G004863,1
G001023,0
G010394,0
G001741,0
G000411,0
G000274,0
G006658,1
G005365,1
G002110,1
G001580,0
G003380,1
G003108,1
G004680,1
G008878,1
G010768,0
G012321,0
G010123,0
G004979,1
G005024,1
G006506,1
G007796,0
G010880,0
G005539,1
G007164,1
G000102,0
G008575,0
G002803,1
G008763,1
G012999,0
G002857,1
G009211,0
G007666,0
G001603,0
G000281,0
G008918,0
G013395,0
G000519,0
G007686,0
G009055,0
G002862,1
G010401,0
G008058,0
G000773,0
G009827,1
G009165,0
G005554,1
G002705,1
G006374,1
G002022,0
G011617,0
G001656,0
G006927,1
G008415,0
G000908,0
G003208,1
G008869,0
G003367,1
G010729,0
G008847,0
G011092,0
G002996,1
G009568,0
G000456,0
G004901,1
G001359,0
G003951,1
G003223,1
G009961,1
G013564,0
G010256,0
G009755,0
G003708,1
G006479,1
G002185,1
G009483,0
G003699,1
G008831,1
G000928,0
G001684,0
G002118,0
G008128,0
G010388,0
G002992,1
G000361,0
G005227,1
G001731,0
G006105,1
G009380,0
G002702,1
G011648,0
G004314,1
G007753,0
G010988,0
G000174,0
G001455,0
G011681,0
G002478,1
G000032,0
G006936,1
G002955,1
G012819,0
G000400,0
G004895,1
G009811,0
G011160,0
G005370,1
G006093,1
G004794,1
G000593,0
G001399,0
G002929,1
G003001,1
G009231,0
G009279,0
G012396,0
G000609,0
G006324,1
G006404,1
G009882,0
G003502,1
G004650,1
G003711,1
G012747,0
G011287,0
G009844,1
G003108,1
G006190,1
G008815,0
G002309,1
G003405,1
G012180,0
G007730,0
G012080,0
G009899,1
G010075,0
G009542,1
G006391,1
G011798,0
G010945,0
G002413,1
G001767,0
G009698,1
G011625,0
G005804,1
G001087,0
G004430,1
G006694,1
G008238,0
G004405,1
G013034,0
G013443,0
G008856,0
G000340,0
G001254,0
G012645,0
G004983,1
G011116,0
G010320,0
G004239,1
G012510,0
G005748,1
G001723,0
G007823,0
G001740,0
G005698,1
G000103,0
G010459,0
G010181,0
G003044,1
G004740,1
G009373,0
G004394,1
G009661,1
G004293,1
G002255,1
G010380,0
G001329,0
G004275,1
G009050,0
G003661,1
G005080,1
G013076,0
G004192,1
G005872,1
G013294,0
G010944,0
G009593,1
G011776,0
G007182,1
G004251,1
G010624,0
G010916,0
G010968,0
G010201,0
G013509,0
G010686,0
G004027,1
G011563,0
G004352,1
G004439,1
G010108,0
G013177,0
G007542,0
G004093,1
G008740,0
G000182,0
G011229,0
G010716,0
G006215,1
G011447,0
G006602,1
G004692,1
G003493,1
G009694,0
G010183,0
G011962,0
G011441,0
G005278,1
G001321,0
G004345,1
G002184,1
G008168,0
G011664,0
G010557,0
G012788,0
G003609,1
G007316,1
G001484,0
G009034,0
G002555,1
G004639,1
G010098,0
G003998,1
G007077,1
G009862,1
G010886,0
G000285,0
G005271,1
G012206,0
G006552,1
G003488,1
G009768,0
G008639,0
G003468,1
G005002,1
G004058,1
G008546,0
G009069,0
G010243,0
G002443,1
G006493,1
G011778,0
G006413,1
G008262,0
G010892,0
G009244,0
G005636,1
G002911,1
G004515,1
G003450,1
G003586,1
G012493,0
G007239,1
G002316,1
G002216,1
G003017,1
G005816,1
G007557,0
G001663,0
G005897,1
G001563,0
G008273,0
G013113,0
G010837,0
G009665,0
G006378,1
G007646,0
G002003,0
G002693,1
G011893,0
G003438,1
G003979,1
G004873,1
G006339,1
G004140,1
G001062,0
G007062,1
G001651,0
G002145,1
G004994,1
G000411,0
G001434,0
G002010,1
G012530,0
G012774,0
G010265,0
G008883,0
G001881,0
G007566,0
G001963,0
G002860,1
G012026,0
G004561,1
G000737,0
G008251,0
G002936,1
G009125,0
G010359,0
G006495,1
G010564,0
G008891,0
G008521,0
G001373,0
G009594,0
G006018,1
G012100,0
G001248,0
G008483,0
G011417,0
G007736,0
G010252,0
G011896,0
G000451,0
G001011,0
G004668,1
G002287,1
G003036,1
G002125,0
G003215,1
G004748,1
G007894,0
G008076,0
G005187,1
G008998,0
G010991,0
G013166,0
G004342,1
G007745,0
G005382,1
G012655,0
G001226,0
G007154,1
G001087,0
G010633,0
G009602,0
G008782,0
G002324,1
G010782,0
